"ENTITY_AFLTN_ID","ENTITY_ID","AFLTN_TYP_CD","CAMPUS_CD","DFLT_IND","ACTV_IND","OBJ_ID","VER_NBR"
"KC10001","KC10001","STAFF","BL","Y","Y","AAE016CCF5515107E040DC0A1F8A7C64","1"
"KC10002","KC10002","STAFF","BL","Y","Y","AAE016CCF5525107E040DC0A1F8A7C64","1"
"KC10003","KC10003","STAFF","BL","Y","Y","AAE016CCF5535107E040DC0A1F8A7C64","1"
"KC10004","KC10004","STAFF","BL","Y","Y","AAE016CCF5545107E040DC0A1F8A7C64","1"
"KC10005","KC10005","STAFF","BL","Y","Y","AAE016CCF5555107E040DC0A1F8A7C64","1"
"KC10006","KC10006","RSRCH_STAFF","BL","Y","Y","AAE016CCF5565107E040DC0A1F8A7C64","1"
"KC10007","KC10007","MED_STAFF","IN","Y","Y","AAE016CCF5575107E040DC0A1F8A7C64","1"
"KC10008","KC10008","FCLTY","BL","Y","Y","AAE016CCF5585107E040DC0A1F8A7C64","1"
"KC10009","KC10009","FCLTY","BL","Y","Y","AAE016CCF5595107E040DC0A1F8A7C64","1"
"KC10010","KC10010","FCLTY","BL","Y","Y","AAE016CCF55A5107E040DC0A1F8A7C64","1"
"KC10011","KC10011","FCLTY","BL","Y","Y","AAE016CCF55B5107E040DC0A1F8A7C64","1"
"KC10012","KC10012","FCLTY","BL","Y","Y","AAE016CCF55C5107E040DC0A1F8A7C64","1"
"KC10013","KC10013","FCLTY","BL","Y","Y","AAE016CCF55D5107E040DC0A1F8A7C64","1"
"KC10014","KC10014","FCLTY","BL","Y","Y","AAE016CCF55E5107E040DC0A1F8A7C64","1"
"KC10015","KC10015","FCLTY","BL","Y","Y","AAE016CCF55F5107E040DC0A1F8A7C64","1"
"KC10016","KC10016","FCLTY","BL","Y","Y","AAE016CCF5605107E040DC0A1F8A7C64","1"
"KC10017","KC10017","FCLTY","BL","Y","Y","AAE016CCF5615107E040DC0A1F8A7C64","1"
"KC10018","KC10018","FCLTY","BL","Y","Y","AAE016CCF5625107E040DC0A1F8A7C64","1"
"KC10019","KC10019","FCLTY","BL","Y","Y","AAE016CCF5635107E040DC0A1F8A7C64","1"
"KC10020","KC10020","FCLTY","BL","Y","Y","AAE016CCF5645107E040DC0A1F8A7C64","1"
"KC10021","KC10021","FCLTY","BL","Y","Y","AAE016CCF5655107E040DC0A1F8A7C64","1"
"KC10022","KC10022","FCLTY","BL","Y","Y","AAE016CCF5665107E040DC0A1F8A7C64","1"
"KC10023","KC10023","FCLTY","BL","Y","Y","AAE016CCF5675107E040DC0A1F8A7C64","1"
"KC10024","KC10024","FCLTY","BL","Y","Y","AAE016CCF5685107E040DC0A1F8A7C64","1"
"KC10025","KC10025","FCLTY","BL","Y","Y","AAE016CCF5695107E040DC0A1F8A7C64","1"
"KC10026","KC10026","FCLTY","BL","Y","Y","AAE016CCF56A5107E040DC0A1F8A7C64","1"
"KC10027","KC10027","FCLTY","BL","Y","Y","AAE016CCF56B5107E040DC0A1F8A7C64","1"
"KC10028","KC10028","FCLTY","BL","Y","Y","AAE016CCF56C5107E040DC0A1F8A7C64","1"
"KC10029","KC10029","FCLTY","BL","Y","Y","AAE016CCF56D5107E040DC0A1F8A7C64","1"
"KC10030","KC10030","FCLTY","BL","Y","Y","AAE016CCF56E5107E040DC0A1F8A7C64","1"
"KC10031","KC10031","FCLTY","BL","Y","Y","AAE016CCF56F5107E040DC0A1F8A7C64","1"
"KC10032","KC10032","FCLTY","BL","Y","Y","AAE016CCF5705107E040DC0A1F8A7C64","1"
"KC10033","KC10033","FCLTY","BL","Y","Y","AAE016CCF5715107E040DC0A1F8A7C64","1"
"KC10034","KC10034","FCLTY","BL","Y","Y","AAE016CCF5725107E040DC0A1F8A7C64","1"
"KC10035","KC10035","FCLTY","BL","Y","Y","AAE016CCF5735107E040DC0A1F8A7C64","1"
"KC10036","KC10036","FCLTY","BL","Y","Y","AAE016CCF5745107E040DC0A1F8A7C64","1"
"KC10037","KC10037","FCLTY","BL","Y","Y","AAE016CCF5755107E040DC0A1F8A7C64","1"
"KC10038","KC10038","FCLTY","BL","Y","Y","AAE016CCF5765107E040DC0A1F8A7C64","1"
"KC10039","KC10039","FCLTY","BL","Y","Y","AAE016CCF5775107E040DC0A1F8A7C64","1"
"KC10040","KC10040","FCLTY","BL","Y","Y","AAE016CCF5785107E040DC0A1F8A7C64","1"
"KC10041","KC10041","FCLTY","BL","Y","Y","AAE016CCF5795107E040DC0A1F8A7C64","1"
"KC10042","KC10042","FCLTY","BL","Y","Y","AAE016CCF57A5107E040DC0A1F8A7C64","1"
"KC10043","KC10043","FCLTY","BL","Y","Y","AAE016CCF57B5107E040DC0A1F8A7C64","1"
"KC10044","KC10044","FCLTY","BL","Y","Y","AAE016CCF57C5107E040DC0A1F8A7C64","1"
"KC10045","KC10045","FCLTY","BL","Y","Y","AAE016CCF57D5107E040DC0A1F8A7C64","1"
"KC10046","KC10046","FCLTY","BL","Y","Y","AAE016CCF57E5107E040DC0A1F8A7C64","1"
"KC10047","KC10047","FCLTY","BL","Y","Y","AAE016CCF57F5107E040DC0A1F8A7C64","1"
"KC10048","KC10048","FCLTY","BL","Y","Y","AAE016CCF5805107E040DC0A1F8A7C64","1"
"KC10049","KC10049","FCLTY","BL","Y","Y","AAE016CCF5815107E040DC0A1F8A7C64","1"
"KC10050","KC10050","FCLTY","BL","Y","Y","AAE016CCF5825107E040DC0A1F8A7C64","1"
"KC10051","KC10051","FCLTY","BL","Y","Y","AAE016CCF5835107E040DC0A1F8A7C64","1"
"KC10052","KC10052","FCLTY","BL","Y","Y","AAE016CCF5845107E040DC0A1F8A7C64","1"
"KC10053","KC10053","FCLTY","BL","Y","Y","AAE016CCF5855107E040DC0A1F8A7C64","1"
"KC10054","KC10054","FCLTY","BL","Y","Y","AAE016CCF5865107E040DC0A1F8A7C64","1"
"KC10055","KC10055","FCLTY","BL","Y","Y","AAE016CCF5875107E040DC0A1F8A7C64","1"
"KC10056","KC10056","FCLTY","BL","Y","Y","AAE016CCF5885107E040DC0A1F8A7C64","1"
"KC10057","KC10057","FCLTY","BL","Y","Y","AAE016CCF5895107E040DC0A1F8A7C64","1"
