"ROLE_MBR_ID","ROLE_ID","MBR_ID","MBR_TYP_CD","OBJ_ID","VER_NBR"
"KC10000","KC99","10000000112","P","AAE016CCF7835107E040DC0A1F8A7C64","1"
"KC10001","KC99","10000000116","P","AAE016CCF7845107E040DC0A1F8A7C64","1"
"KC10002","KC102","10000000109","P","AAE016CCF7855107E040DC0A1F8A7C64","1"
"KC10003","KC104","10000000118","P","AAE016CCF7875107E040DC0A1F8A7C64","1"
"KC10004","KC105","10000000114","P","AAE016CCF7895107E040DC0A1F8A7C64","1"
"KC10005","KC105","10000000116","P","AAE016CCF78B5107E040DC0A1F8A7C64","1"
"KC10006","KC111","10000000081","P","AAE016CCF78D5107E040DC0A1F8A7C64","1"
"KC10007","KC111","10000000082","P","AAE016CCF78F5107E040DC0A1F8A7C64","1"
"KC10008","KC112","10000000102","P","AAE016CCF7915107E040DC0A1F8A7C64","1"
"KC10009","KC113","10000000106","P","AAE016CCF7945107E040DC0A1F8A7C64","1"
"KC10010","KC114","10000000107","P","AAE016CCF7975107E040DC0A1F8A7C64","1"
"KC10011","KC115","10000000104","P","AAE016CCF79A5107E040DC0A1F8A7C64","1"
"KC10012","KC120","10000000111","P","AAE016CCF79D5107E040DC0A1F8A7C64","1"
"KC10013","KC121","10000000110","P","AAE016CCF7A05107E040DC0A1F8A7C64","1"
"KC10014","KC124","10000000108","P","AAE016CCF7A35107E040DC0A1F8A7C64","1"
"KC10015","KC125","10000000101","P","AAE016CCF7A65107E040DC0A1F8A7C64","1"
"KC10016","KC126","10000000103","P","AAE016CCF7A95107E040DC0A1F8A7C64","1"
"KC10017","KC127","10000000117","P","AAE016CCF7AC5107E040DC0A1F8A7C64","1"
"KC10018","KC128","10000000112","P","AAE016CCF7AF5107E040DC0A1F8A7C64","1"
"KC10019","KC128","10000000113","P","AAE016CCF7B25107E040DC0A1F8A7C64","1"
"KC10020","KC129","10000000115","P","AAE016CCF7B55107E040DC0A1F8A7C64","1"
"KC10021","KC129","10000000116","P","AAE016CCF7B85107E040DC0A1F8A7C64","1"
"KC10022","KC131","10000000105","P","AAE016CCF7BB5107E040DC0A1F8A7C64","1"
"KC10024","KC99","quickstart","P","AAE016CCF7BF5107E040DC0A1F8A7C64","1"
"KC10025","KC99","10000000002","P","AAE016CCF7C05107E040DC0A1F8A7C64","1"
"KC10026","KC99","10000000004","P","AAE016CCF7C15107E040DC0A1F8A7C64","1"
"KC10027","KC99","10000000005","P","AAE016CCF7C25107E040DC0A1F8A7C64","1"
"KC10028","KC99","10000000006","P","AAE016CCF7C35107E040DC0A1F8A7C64","1"
"KC10029","KC99","10000000007","P","AAE016CCF7C45107E040DC0A1F8A7C64","1"
"KC10030","KC99","10000000008","P","AAE016CCF7C55107E040DC0A1F8A7C64","1"
"KC10031","KC99","10000000009","P","AAE016CCF7C65107E040DC0A1F8A7C64","1"
"KC10032","KC99","10000000010","P","AAE016CCF7C75107E040DC0A1F8A7C64","1"
"KC10033","KC99","10000000011","P","AAE016CCF7C85107E040DC0A1F8A7C64","1"
"KC10034","KC99","10000000012","P","AAE016CCF7C95107E040DC0A1F8A7C64","1"
"KC10035","KC99","10000000013","P","AAE016CCF7CA5107E040DC0A1F8A7C64","1"
"KC10036","KC99","10000000014","P","AAE016CCF7CB5107E040DC0A1F8A7C64","1"
"KC10037","KC99","10000000015","P","AAE016CCF7CC5107E040DC0A1F8A7C64","1"
