"ATTR_DATA_ID","PERM_ID","KIM_TYP_ID","KIM_ATTR_DEFN_ID","ATTR_VAL","OBJ_ID","VER_NBR"
"KC1000","KC872","KC74","KC50","certify","AA3F29ECA8C977DAE040DC0A1F8A01CC","1"
"KC1001","KC872","KC74","13","ProposalDevelopmentDocument","AA3F29ECA8CA77DAE040DC0A1F8A01CC","1"
"KC1002","KC873","KC74","13","ProposalDevelopmentDocument","AA3F29ECA8CC77DAE040DC0A1F8A01CC","1"
"KC1003","KC873","KC74","KC50","submit_to_sponsor","AA3F29ECA8CD77DAE040DC0A1F8A01CC","1"
"KC1004","KC874","KC74","KC50","add_viewer","AA3F29ECA8CF77DAE040DC0A1F8A01CC","1"
"KC1005","KC874","KC74","13","ProposalDevelopmentDocument","AA3F29ECA8D077DAE040DC0A1F8A01CC","1"
"KC1006","KC875","KC74","KC50","create_ammendment","AA3F29ECA8D277DAE040DC0A1F8A01CC","1"
"KC1007","KC875","KC74","13","ProtocolDocument","AA3F29ECA8D377DAE040DC0A1F8A01CC","1"
"KC1008","KC876","KC74","13","ProtocolDocument","AA3F29ECA8D577DAE040DC0A1F8A01CC","1"
"KC1009","KC876","KC74","KC50","create_renewal","AA3F29ECA8D677DAE040DC0A1F8A01CC","1"
"KC1010","KC877","KC74","13","ProtocolDocument","AA3F29ECA8D877DAE040DC0A1F8A01CC","1"
"KC1011","KC877","KC74","KC50","admin_correction","AA3F29ECA8D977DAE040DC0A1F8A01CC","1"
"KC1012","KC878","KC74","KC50","modify_submission_details","AA3F29ECA8DB77DAE040DC0A1F8A01CC","1"
"KC1013","KC878","KC74","13","ProtocolDocument","AA3F29ECA8DC77DAE040DC0A1F8A01CC","1"
"KC1014","KC879","KC74","13","ProtocolDocument","AA3F29ECA8DE77DAE040DC0A1F8A01CC","1"
"KC1015","KC879","KC74","KC50","add_notes","AA3F29ECA8DF77DAE040DC0A1F8A01CC","1"
"KC1016","KC880","KC74","13","ProtocolDocument","AA3F29ECA8E177DAE040DC0A1F8A01CC","1"
"KC1017","KC880","KC74","KC50","view_restricted_notes","AA3F29ECA8E277DAE040DC0A1F8A01CC","1"
"KC1018","KC881","KC74","13","MeetingManagementDocument","AA3F29ECA8E477DAE040DC0A1F8A01CC","1"
"KC1019","KC881","KC74","KC50","generate_agenda","AA3F29ECA8E577DAE040DC0A1F8A01CC","1"
"KC1020","KC882","KC74","KC50","generate_minutes","AA3F29ECA8E777DAE040DC0A1F8A01CC","1"
"KC1021","KC882","KC74","13","MeetingManagementDocument","AA3F29ECA8E877DAE040DC0A1F8A01CC","1"
"KC1022","KC883","KC74","13","CommitteeDocument","AA3F29ECA8EA77DAE040DC0A1F8A01CC","1"
"KC1023","KC883","KC74","KC50","generate_schedule","AA3F29ECA8EB77DAE040DC0A1F8A01CC","1"
"KC1024","KC884","KC74","KC50","view_member_details","AA3F29ECA8ED77DAE040DC0A1F8A01CC","1"
"KC1025","KC884","KC74","13","CommitteeDocument","AA3F29ECA8EE77DAE040DC0A1F8A01CC","1"
"KC1026","KC885","KC74","13","ProtocolDocument","AA3F29ECA8F077DAE040DC0A1F8A01CC","1"
"KC1027","KC886","KC74","13","ProposalDevelopmentDocument","AA3F29ECA8F277DAE040DC0A1F8A01CC","1"
"KC1028","KC887","KC74","13","ProtocolDocument","AA3F29ECA8F477DAE040DC0A1F8A01CC","1"
"KC1029","KC888","3","13","ProposalLogMaintenanceDocument","AA3F29ECA8F677DAE040DC0A1F8A01CC","1"
"KC1030","KC889","3","13","ProposalLogMaintenanceDocument","AA3F29ECA8F877DAE040DC0A1F8A01CC","1"
"KC1031","KC890","3","13","ProposalLogMaintenanceDocument","AA3F29ECA8FA77DAE040DC0A1F8A01CC","1"
"KC1032","KC891","3","13","QuestionnaireMaintenanceDocument","AA3F29ECA8FC77DAE040DC0A1F8A01CC","1"
