"ATTR_DATA_ID","RSP_ID","KIM_TYP_ID","KIM_ATTR_DEFN_ID","ATTR_VAL","OBJ_ID","VER_NBR"
"KC1099","10017","7","13","ProtocolDocument","AA3F29ECA6B477DAE040DC0A1F8A01CC","1"
"KC1100","10017","7","16","DepartmentReview","AA3F29ECA6B577DAE040DC0A1F8A01CC","1"
"KC1101","10017","7","40","false","AA3F29ECA6B677DAE040DC0A1F8A01CC","1"
"KC1102","10017","7","41","false","AA3F29ECA6B777DAE040DC0A1F8A01CC","1"
"KC882","1002","7","13","ProposalDevelopmentDocument","AA3F29ECA66977DAE040DC0A1F8A01CC","1"
"KC883","1002","7","16","OSPInitial","AA3F29ECA66A77DAE040DC0A1F8A01CC","1"
"KC884","1002","7","40","false","AA3F29ECA66B77DAE040DC0A1F8A01CC","1"
"KC885","1002","7","41","false","AA3F29ECA66C77DAE040DC0A1F8A01CC","1"
"KC886","1003","7","13","ProposalDevelopmentDocument","AA3F29ECA66E77DAE040DC0A1F8A01CC","1"
"KC887","1003","7","16","OSPOfficeRouting","AA3F29ECA66F77DAE040DC0A1F8A01CC","1"
"KC888","1003","7","40","false","AA3F29ECA67077DAE040DC0A1F8A01CC","1"
"KC889","1003","7","41","false","AA3F29ECA67177DAE040DC0A1F8A01CC","1"
"KC890","1004","7","13","ProposalDevelopmentDocument","AA3F29ECA67377DAE040DC0A1F8A01CC","1"
"KC891","1004","7","16","ProposalPersons","AA3F29ECA67477DAE040DC0A1F8A01CC","1"
"KC892","1004","7","40","false","AA3F29ECA67577DAE040DC0A1F8A01CC","1"
"KC893","1004","7","41","false","AA3F29ECA67677DAE040DC0A1F8A01CC","1"
"KC894","1005","7","13","ProposalDevelopmentDocument","AA3F29ECA67877DAE040DC0A1F8A01CC","1"
"KC895","1005","7","16","UnitRouting","AA3F29ECA67977DAE040DC0A1F8A01CC","1"
"KC896","1005","7","40","false","AA3F29ECA67A77DAE040DC0A1F8A01CC","1"
"KC897","1005","7","41","false","AA3F29ECA67B77DAE040DC0A1F8A01CC","1"
"KC898","1006","7","13","ProposalDevelopmentDocument","AA3F29ECA67D77DAE040DC0A1F8A01CC","1"
"KC899","1006","7","16","DepartmentalRouting","AA3F29ECA67E77DAE040DC0A1F8A01CC","1"
"KC900","1006","7","40","false","AA3F29ECA67F77DAE040DC0A1F8A01CC","1"
"KC901","1006","7","41","false","AA3F29ECA68077DAE040DC0A1F8A01CC","1"
"KC902","1007","7","13","ProtocolDocument","AA3F29ECA68277DAE040DC0A1F8A01CC","1"
"KC903","1007","7","16","IRBApprove","AA3F29ECA68377DAE040DC0A1F8A01CC","1"
"KC904","1007","7","40","false","AA3F29ECA68477DAE040DC0A1F8A01CC","1"
"KC905","1007","7","41","false","AA3F29ECA68577DAE040DC0A1F8A01CC","1"
"KC906","1008","7","13","ProtocolDocument","AA3F29ECA68777DAE040DC0A1F8A01CC","1"
"KC907","1008","7","16","AssignedToCommittee","AA3F29ECA68877DAE040DC0A1F8A01CC","1"
"KC908","1008","7","40","false","AA3F29ECA68977DAE040DC0A1F8A01CC","1"
"KC909","1008","7","41","false","AA3F29ECA68A77DAE040DC0A1F8A01CC","1"
"KC910","1009","7","13","ProtocolDocument","AA3F29ECA68C77DAE040DC0A1F8A01CC","1"
"KC911","1009","7","16","AssignedToAgenda","AA3F29ECA68D77DAE040DC0A1F8A01CC","1"
"KC912","1009","7","40","false","AA3F29ECA68E77DAE040DC0A1F8A01CC","1"
"KC913","1009","7","41","false","AA3F29ECA68F77DAE040DC0A1F8A01CC","1"
"KC914","10010","7","13","ProtocolDocument","AA3F29ECA69177DAE040DC0A1F8A01CC","1"
"KC915","10010","7","16","IRBReview","AA3F29ECA69277DAE040DC0A1F8A01CC","1"
"KC916","10010","7","40","false","AA3F29ECA69377DAE040DC0A1F8A01CC","1"
"KC917","10010","7","41","false","AA3F29ECA69477DAE040DC0A1F8A01CC","1"
"KC918","10011","7","13","ProtocolDocument","AA3F29ECA69677DAE040DC0A1F8A01CC","1"
"KC919","10011","7","16","IRBReceipt","AA3F29ECA69777DAE040DC0A1F8A01CC","1"
"KC920","10011","7","40","false","AA3F29ECA69877DAE040DC0A1F8A01CC","1"
"KC921","10011","7","41","false","AA3F29ECA69977DAE040DC0A1F8A01CC","1"
"KC922","10012","7","13","AwardBudgetDocument","AA3F29ECA69B77DAE040DC0A1F8A01CC","1"
"KC923","10012","7","16","AwardBudgetInitialApproval","AA3F29ECA69C77DAE040DC0A1F8A01CC","1"
"KC924","10012","7","40","false","AA3F29ECA69D77DAE040DC0A1F8A01CC","1"
"KC925","10012","7","41","false","AA3F29ECA69E77DAE040DC0A1F8A01CC","1"
"KC926","10013","7","13","AwardBudgetDocument","AA3F29ECA6A077DAE040DC0A1F8A01CC","1"
"KC927","10013","7","16","AwardBudgetOSPApproval","AA3F29ECA6A177DAE040DC0A1F8A01CC","1"
"KC928","10013","7","40","false","AA3F29ECA6A277DAE040DC0A1F8A01CC","1"
"KC929","10013","7","41","false","AA3F29ECA6A377DAE040DC0A1F8A01CC","1"
"KC930","10014","7","13","ProtocolOnlineReviewDocument","AA3F29ECA6A577DAE040DC0A1F8A01CC","1"
"KC931","10014","7","16","OnlineReviewer","AA3F29ECA6A677DAE040DC0A1F8A01CC","1"
"KC932","10014","7","40","false","AA3F29ECA6A777DAE040DC0A1F8A01CC","1"
"KC933","10014","7","41","false","AA3F29ECA6A877DAE040DC0A1F8A01CC","1"
"KC934","10015","7","13","ProtocolOnlineReviewDocument","AA3F29ECA6AA77DAE040DC0A1F8A01CC","1"
"KC935","10015","7","16","IRBAdminReview","AA3F29ECA6AB77DAE040DC0A1F8A01CC","1"
"KC936","10015","7","40","false","AA3F29ECA6AC77DAE040DC0A1F8A01CC","1"
"KC937","10015","7","41","false","AA3F29ECA6AD77DAE040DC0A1F8A01CC","1"
"KC938","10016","7","13","ProtocolOnlineReviewDocument","AA3F29ECA6AF77DAE040DC0A1F8A01CC","1"
"KC939","10016","7","16","IRBAdminInitialReview","AA3F29ECA6B077DAE040DC0A1F8A01CC","1"
"KC940","10016","7","40","false","AA3F29ECA6B177DAE040DC0A1F8A01CC","1"
"KC941","10016","7","41","false","AA3F29ECA6B277DAE040DC0A1F8A01CC","1"
