"ROLE_RSP_ID","ROLE_ID","RSP_ID","ACTV_IND","OBJ_ID","VER_NBR"
"KC10","KC128","KC15","Y","AA3F29ECA98F77DAE040DC0A1F8A01CC","1"
"KC11","KC128","KC16","Y","AA3F29ECA99177DAE040DC0A1F8A01CC","1"
"KC12","KC132","KC4","Y","AA3F29ECA99377DAE040DC0A1F8A01CC","1"
"KC13","KC133","KC4","Y","AA3F29ECA99577DAE040DC0A1F8A01CC","1"
"KC14","KC134","KC6","Y","AA3F29ECA99777DAE040DC0A1F8A01CC","1"
"KC15","KC135","KC5","Y","AA3F29ECA99977DAE040DC0A1F8A01CC","1"
"KC16","KC136","KC4","Y","AA3F29ECA99B77DAE040DC0A1F8A01CC","1"
"KC18","KC143","KC14","Y","AA3F29ECA99F77DAE040DC0A1F8A01CC","1"
"KC19","KC138","KC17","Y","AA3F29ECA99D77DAE040DC0A1F8A01CC","1"
"KC2","KC99","KC7","Y","AA3F29ECA97F77DAE040DC0A1F8A01CC","1"
"KC3","KC99","KC8","Y","AA3F29ECA98177DAE040DC0A1F8A01CC","1"
"KC4","KC99","KC9","Y","AA3F29ECA98377DAE040DC0A1F8A01CC","1"
"KC5","KC99","KC10","Y","AA3F29ECA98577DAE040DC0A1F8A01CC","1"
"KC6","KC100","KC2","Y","AA3F29ECA98777DAE040DC0A1F8A01CC","1"
"KC7","KC100","KC3","Y","AA3F29ECA98977DAE040DC0A1F8A01CC","1"
"KC8","KC112","KC12","Y","AA3F29ECA98B77DAE040DC0A1F8A01CC","1"
"KC9","KC112","KC13","Y","AA3F29ECA98D77DAE040DC0A1F8A01CC","1"
