"ENTITY_EMP_ID","ENTITY_ID","ENTITY_AFLTN_ID","EMP_STAT_CD","EMP_TYP_CD","PRMRY_IND","ACTV_IND","PRMRY_DEPT_CD","EMP_ID","EMP_REC_ID","OBJ_ID","VER_NBR"
"10002","10002","10002","A","P","Y","Y","000001","KULUSER","1","AA51CAC0EA097EC0E040DC0A1F8A40D0","1"
"10003","10003","10003","A","P","Y","Y","000001","majors","1","AA51CAC0EA0A7EC0E040DC0A1F8A40D0","1"
"10004","10004","10004","A","P","Y","Y","BL-BL","chew","1","AA51CAC0EA0B7EC0E040DC0A1F8A40D0","1"
"10005","10005","10005","A","P","Y","Y","IU-UNIV","woods","1","AA51CAC0EA0C7EC0E040DC0A1F8A40D0","1"
"10006","10006","10006","A","P","Y","Y","BL-RCEN","oblood","1","AA51CAC0EA0D7EC0E040DC0A1F8A40D0","1"
"10007","10007","10007","A","P","Y","Y","IN-MDEP","cate","1","AA51CAC0EA0E7EC0E040DC0A1F8A40D0","1"
"10008","10008","10008","A","P","Y","Y","000001","houlihan","1","AA51CAC0EA0F7EC0E040DC0A1F8A40D0","1"
"10009","10009","10009","A","P","Y","Y","000001","rbpaulin","1","AA51CAC0EA107EC0E040DC0A1F8A40D0","1"
"10010","10010","10010","A","P","Y","Y","000001","donugent","1","AA51CAC0EA117EC0E040DC0A1F8A40D0","1"
"10011","10011","10011","A","P","Y","Y","000001","mbshorte","1","AA51CAC0EA127EC0E040DC0A1F8A40D0","1"
"10012","10012","10012","A","P","Y","Y","000001","underwoo","1","AA51CAC0EA137EC0E040DC0A1F8A40D0","1"
"10013","10013","10013","A","P","Y","Y","000001","hweubank","1","AA51CAC0EA147EC0E040DC0A1F8A40D0","1"
"10014","10014","10014","A","P","Y","Y","000001","lvbarger","1","AA51CAC0EA157EC0E040DC0A1F8A40D0","1"
"10015","10015","10015","A","P","Y","Y","000001","jckahler","1","AA51CAC0EA167EC0E040DC0A1F8A40D0","1"
"10016","10016","10016","A","P","Y","Y","000001","byler","1","AA51CAC0EA177EC0E040DC0A1F8A40D0","1"
"10017","10017","10017","A","P","Y","Y","000001","aemcafee","1","AA51CAC0EA187EC0E040DC0A1F8A40D0","1"
"10018","10018","10018","A","P","Y","Y","000001","westfall","1","AA51CAC0EA197EC0E040DC0A1F8A40D0","1"
"10019","10019","10019","A","P","Y","Y","000001","bbshankl","1","AA51CAC0EA1A7EC0E040DC0A1F8A40D0","1"
"10020","10020","10020","A","P","Y","Y","000001","ferland","1","AA51CAC0EA1B7EC0E040DC0A1F8A40D0","1"
"10021","10021","10021","A","P","Y","Y","000001","khcrabtr","1","AA51CAC0EA1C7EC0E040DC0A1F8A40D0","1"
"10022","10022","10022","A","P","Y","Y","000001","felker","1","AA51CAC0EA1D7EC0E040DC0A1F8A40D0","1"
"10023","10023","10023","A","P","Y","Y","000001","martin","1","AA51CAC0EA1E7EC0E040DC0A1F8A40D0","1"
"10024","10024","10024","A","P","Y","Y","000001","sterner","1","AA51CAC0EA1F7EC0E040DC0A1F8A40D0","1"
"10025","10025","10025","A","P","Y","Y","000001","chbayles","1","AA51CAC0EA207EC0E040DC0A1F8A40D0","1"
"10026","10026","10026","A","P","Y","Y","000001","tmkato","1","AA51CAC0EA217EC0E040DC0A1F8A40D0","1"
"10027","10027","10027","A","P","Y","Y","000001","cphovis","1","AA51CAC0EA227EC0E040DC0A1F8A40D0","1"
"10028","10028","10028","A","P","Y","Y","000001","rnmcinty","1","AA51CAC0EA237EC0E040DC0A1F8A40D0","1"
"10029","10029","10029","A","P","Y","Y","000001","eagle","1","AA51CAC0EA247EC0E040DC0A1F8A40D0","1"
"10030","10030","10030","A","P","Y","Y","000001","mjpond","1","AA51CAC0EA257EC0E040DC0A1F8A40D0","1"
"10031","10031","10031","A","P","Y","Y","000001","flaherty","1","AA51CAC0EA267EC0E040DC0A1F8A40D0","1"
"10032","10032","10032","A","P","Y","Y","000001","mukoss","1","AA51CAC0EA277EC0E040DC0A1F8A40D0","1"
"10033","10033","10033","A","P","Y","Y","000001","mceacher","1","AA51CAC0EA287EC0E040DC0A1F8A40D0","1"
"10034","10034","10034","A","P","Y","Y","000001","wacuna","1","AA51CAC0EA297EC0E040DC0A1F8A40D0","1"
"10035","10035","10035","A","P","Y","Y","000001","schulte","1","AA51CAC0EA2A7EC0E040DC0A1F8A40D0","1"
