"ATTR_DATA_ID","RSP_ID","KIM_TYP_ID","KIM_ATTR_DEFN_ID","ATTR_VAL","OBJ_ID","VER_NBR"
"KC1099","KC17","7","13","ProtocolDocument","AA3F29ECA6B477DAE040DC0A1F8A01CC","1"
"KC1100","KC17","7","16","DepartmentReview","AA3F29ECA6B577DAE040DC0A1F8A01CC","1"
"KC1101","KC17","7","40","false","AA3F29ECA6B677DAE040DC0A1F8A01CC","1"
"KC1102","KC17","7","41","false","AA3F29ECA6B777DAE040DC0A1F8A01CC","1"
"KC882","KC2","7","13","ProposalDevelopmentDocument","AA3F29ECA66977DAE040DC0A1F8A01CC","1"
"KC883","KC2","7","16","OSPInitial","AA3F29ECA66A77DAE040DC0A1F8A01CC","1"
"KC884","KC2","7","40","false","AA3F29ECA66B77DAE040DC0A1F8A01CC","1"
"KC885","KC2","7","41","false","AA3F29ECA66C77DAE040DC0A1F8A01CC","1"
"KC886","KC3","7","13","ProposalDevelopmentDocument","AA3F29ECA66E77DAE040DC0A1F8A01CC","1"
"KC887","KC3","7","16","OSPOfficeRouting","AA3F29ECA66F77DAE040DC0A1F8A01CC","1"
"KC888","KC3","7","40","false","AA3F29ECA67077DAE040DC0A1F8A01CC","1"
"KC889","KC3","7","41","false","AA3F29ECA67177DAE040DC0A1F8A01CC","1"
"KC890","KC4","7","13","ProposalDevelopmentDocument","AA3F29ECA67377DAE040DC0A1F8A01CC","1"
"KC891","KC4","7","16","ProposalPersons","AA3F29ECA67477DAE040DC0A1F8A01CC","1"
"KC892","KC4","7","40","false","AA3F29ECA67577DAE040DC0A1F8A01CC","1"
"KC893","KC4","7","41","false","AA3F29ECA67677DAE040DC0A1F8A01CC","1"
"KC894","KC5","7","13","ProposalDevelopmentDocument","AA3F29ECA67877DAE040DC0A1F8A01CC","1"
"KC895","KC5","7","16","UnitRouting","AA3F29ECA67977DAE040DC0A1F8A01CC","1"
"KC896","KC5","7","40","false","AA3F29ECA67A77DAE040DC0A1F8A01CC","1"
"KC897","KC5","7","41","false","AA3F29ECA67B77DAE040DC0A1F8A01CC","1"
"KC898","KC6","7","13","ProposalDevelopmentDocument","AA3F29ECA67D77DAE040DC0A1F8A01CC","1"
"KC899","KC6","7","16","DepartmentalRouting","AA3F29ECA67E77DAE040DC0A1F8A01CC","1"
"KC900","KC6","7","40","false","AA3F29ECA67F77DAE040DC0A1F8A01CC","1"
"KC901","KC6","7","41","false","AA3F29ECA68077DAE040DC0A1F8A01CC","1"
"KC902","KC7","7","13","ProtocolDocument","AA3F29ECA68277DAE040DC0A1F8A01CC","1"
"KC903","KC7","7","16","IRBApprove","AA3F29ECA68377DAE040DC0A1F8A01CC","1"
"KC904","KC7","7","40","false","AA3F29ECA68477DAE040DC0A1F8A01CC","1"
"KC905","KC7","7","41","false","AA3F29ECA68577DAE040DC0A1F8A01CC","1"
"KC906","KC8","7","13","ProtocolDocument","AA3F29ECA68777DAE040DC0A1F8A01CC","1"
"KC907","KC8","7","16","AssignedToCommittee","AA3F29ECA68877DAE040DC0A1F8A01CC","1"
"KC908","KC8","7","40","false","AA3F29ECA68977DAE040DC0A1F8A01CC","1"
"KC909","KC8","7","41","false","AA3F29ECA68A77DAE040DC0A1F8A01CC","1"
"KC910","KC9","7","13","ProtocolDocument","AA3F29ECA68C77DAE040DC0A1F8A01CC","1"
"KC911","KC9","7","16","AssignedToAgenda","AA3F29ECA68D77DAE040DC0A1F8A01CC","1"
"KC912","KC9","7","40","false","AA3F29ECA68E77DAE040DC0A1F8A01CC","1"
"KC913","KC9","7","41","false","AA3F29ECA68F77DAE040DC0A1F8A01CC","1"
"KC914","KC10","7","13","ProtocolDocument","AA3F29ECA69177DAE040DC0A1F8A01CC","1"
"KC915","KC10","7","16","IRBReview","AA3F29ECA69277DAE040DC0A1F8A01CC","1"
"KC916","KC10","7","40","false","AA3F29ECA69377DAE040DC0A1F8A01CC","1"
"KC917","KC10","7","41","false","AA3F29ECA69477DAE040DC0A1F8A01CC","1"
"KC918","KC11","7","13","ProtocolDocument","AA3F29ECA69677DAE040DC0A1F8A01CC","1"
"KC919","KC11","7","16","IRBReceipt","AA3F29ECA69777DAE040DC0A1F8A01CC","1"
"KC920","KC11","7","40","false","AA3F29ECA69877DAE040DC0A1F8A01CC","1"
"KC921","KC11","7","41","false","AA3F29ECA69977DAE040DC0A1F8A01CC","1"
"KC922","KC12","7","13","AwardBudgetDocument","AA3F29ECA69B77DAE040DC0A1F8A01CC","1"
"KC923","KC12","7","16","AwardBudgetInitialApproval","AA3F29ECA69C77DAE040DC0A1F8A01CC","1"
"KC924","KC12","7","40","false","AA3F29ECA69D77DAE040DC0A1F8A01CC","1"
"KC925","KC12","7","41","false","AA3F29ECA69E77DAE040DC0A1F8A01CC","1"
"KC926","KC13","7","13","AwardBudgetDocument","AA3F29ECA6A077DAE040DC0A1F8A01CC","1"
"KC927","KC13","7","16","AwardBudgetOSPApproval","AA3F29ECA6A177DAE040DC0A1F8A01CC","1"
"KC928","KC13","7","40","false","AA3F29ECA6A277DAE040DC0A1F8A01CC","1"
"KC929","KC13","7","41","false","AA3F29ECA6A377DAE040DC0A1F8A01CC","1"
"KC930","KC14","7","13","ProtocolOnlineReviewDocument","AA3F29ECA6A577DAE040DC0A1F8A01CC","1"
"KC931","KC14","7","16","OnlineReviewer","AA3F29ECA6A677DAE040DC0A1F8A01CC","1"
"KC932","KC14","7","40","false","AA3F29ECA6A777DAE040DC0A1F8A01CC","1"
"KC933","KC14","7","41","false","AA3F29ECA6A877DAE040DC0A1F8A01CC","1"
"KC934","KC15","7","13","ProtocolOnlineReviewDocument","AA3F29ECA6AA77DAE040DC0A1F8A01CC","1"
