"ENTITY_ID","ENT_TYP_CD","ACTV_IND","OBJ_ID","VER_NBR"
"1202","PERSON","Y","77151AD4AFCF9985E0404F8189D80E8B","1"
"1203","PERSON","N","77151AD4AFD39985E0404F8189D80E8B","1"
"1204","PERSON","Y","77151AD4AFD79985E0404F8189D80E8B","1"
"1205","PERSON","Y","77151AD4AFDB9985E0404F8189D80E8B","1"
"1206","PERSON","Y","77151AD4AFDF9985E0404F8189D80E8B","1"
"1207","PERSON","Y","77151AD4AFE39985E0404F8189D80E8B","1"
"1208","PERSON","Y","77151AD4AFE79985E0404F8189D80E8B","1"
"1209","PERSON","Y","77151AD4AFEB9985E0404F8189D80E8B","1"
"1210","PERSON","Y","77151AD4AFEF9985E0404F8189D80E8B","1"
"1211","PERSON","Y","77151AD4AFF39985E0404F8189D80E8B","1"
"1212","PERSON","Y","77151AD4AFF79985E0404F8189D80E8B","1"
"1213","PERSON","Y","77151AD4AFFB9985E0404F8189D80E8B","1"
"1214","PERSON","Y","77151AD4AFFF9985E0404F8189D80E8B","1"
"1215","PERSON","Y","77151AD4B0039985E0404F8189D80E8B","1"
"1216","PERSON","Y","77151AD4B0079985E0404F8189D80E8B","1"
"1217","PERSON","Y","77151AD4B00B9985E0404F8189D80E8B","1"
"1218","PERSON","Y","77151AD4B00F9985E0404F8189D80E8B","1"
"1219","PERSON","Y","77151AD4B0139985E0404F8189D80E8B","1"
"1220","PERSON","Y","77151AD4B0179985E0404F8189D80E8B","1"
"1221","PERSON","Y","77151AD4B01B9985E0404F8189D80E8B","1"
"1222","PERSON","Y","77151AD4B01F9985E0404F8189D80E8B","1"
"1223","PERSON","Y","77151AD4B0239985E0404F8189D80E8B","1"
"1224","PERSON","Y","77151AD4B0279985E0404F8189D80E8B","1"
"1225","PERSON","Y","77151AD4B02B9985E0404F8189D80E8B","1"
"1226","PERSON","Y","77151AD4B02F9985E0404F8189D80E8B","1"
"1227","PERSON","Y","77151AD4B0339985E0404F8189D80E8B","1"
"1228","PERSON","Y","77151AD4B0379985E0404F8189D80E8B","1"
"1229","PERSON","Y","77151AD4B03B9985E0404F8189D80E8B","1"
"1230","PERSON","Y","77151AD4B03F9985E0404F8189D80E8B","1"
"1231","PERSON","Y","77151AD4B0439985E0404F8189D80E8B","1"
"1232","PERSON","Y","77151AD4B0479985E0404F8189D80E8B","1"
"1233","PERSON","Y","77151AD4B04B9985E0404F8189D80E8B","1"
"1234","PERSON","Y","77151AD4B04F9985E0404F8189D80E8B","1"
"1235","PERSON","Y","77151AD4B0539985E0404F8189D80E8B","1"
"1236","PERSON","Y","77151AD4B0579985E0404F8189D80E8B","1"
"1237","PERSON","Y","77151AD4B05B9985E0404F8189D80E8B","1"
"1238","PERSON","Y","77151AD4B05F9985E0404F8189D80E8B","1"
"1239","PERSON","Y","77151AD4B0639985E0404F8189D80E8B","1"
"1240","PERSON","Y","77151AD4B0679985E0404F8189D80E8B","1"
"1241","PERSON","Y","77151AD4B06B9985E0404F8189D80E8B","1"
"1242","PERSON","Y","77151AD4B06F9985E0404F8189D80E8B","1"
"1243","PERSON","Y","77151AD4B0739985E0404F8189D80E8B","1"
"1244","PERSON","Y","77151AD4B0779985E0404F8189D80E8B","1"
"1245","PERSON","Y","77151AD4B07B9985E0404F8189D80E8B","1"
"1246","PERSON","Y","77151AD4B07F9985E0404F8189D80E8B","1"
"1247","PERSON","Y","77151AD4B0839985E0404F8189D80E8B","1"
"1248","PERSON","Y","77151AD4B0879985E0404F8189D80E8B","1"
"1249","PERSON","Y","77151AD4B08B9985E0404F8189D80E8B","1"
"1250","PERSON","Y","77151AD4B08F9985E0404F8189D80E8B","1"
"1251","PERSON","Y","77151AD4B0939985E0404F8189D80E8B","1"
"1252","PERSON","Y","77151AD4B0979985E0404F8189D80E8B","1"
"1253","PERSON","Y","77151AD4B09B9985E0404F8189D80E8B","1"
"1254","PERSON","Y","77151AD4B09F9985E0404F8189D80E8B","1"
"1255","PERSON","Y","77151AD4B0A39985E0404F8189D80E8B","1"
"1256","PERSON","Y","77151AD4B0A79985E0404F8189D80E8B","1"
"1257","PERSON","Y","77151AD4B0AB9985E0404F8189D80E8B","1"
"1258","PERSON","Y","77151AD4B0AF9985E0404F8189D80E8B","1"
"1259","PERSON","Y","77151AD4B0B39985E0404F8189D80E8B","1"
"1261","PERSON","Y","7E3D17D79D2CEE6DE040007F0100167D","1"
"1262","PERSON","Y","7E3D17D79D38EE6DE040007F0100167D","1"
"1263","PERSON","Y","7E3D17D79D44EE6DE040007F0100167D","1"
"1264","PERSON","Y","7E3D17D79D50EE6DE040007F0100167D","1"
"1265","SYSTEM","Y","A53593C3CB6E0C8CE040DC0A1F8A5E45","1"
