"NMSPC_CD","PARM_DTL_TYP_CD","PARM_NM","OBJ_ID","VER_NBR","PARM_TYP_CD","TXT","PARM_DESC_TXT","CONS_CD","APPL_NMSPC_CD"
"KC-AB","Document","AWARD_BUDGET_POST_ENABLED","AA3F29ECA6E977DAE040DC0A1F8A01CC","1","CONFG","1","This system parameter enables on demand Award Budget Posting","A","KC"
"KC-AB","Document","awardBudgetStatusDoNotPost","AA3F29ECA6EA77DAE040DC0A1F8A01CC","1","CONFG","12","This system parameter maps the AwardBudget status Do Not Post","A","KC"
"KC-AB","Document","awardBudgetStatusErrorInPosting","AA3F29ECA6EB77DAE040DC0A1F8A01CC","1","CONFG","11","This system parameter maps the AwardBudget status Error In Posting","A","KC"
"KC-AB","Document","awardBudgetStatusInProgress","AA3F29ECA6EC77DAE040DC0A1F8A01CC","1","CONFG","1","This system parameter maps the AwardBudget status In Progress","A","KC"
"KC-AB","Document","awardBudgetStatusPosted","AA3F29ECA6ED77DAE040DC0A1F8A01CC","1","CONFG","9","This system parameter maps the AwardBudget status Posted","A","KC"
"KC-AB","Document","awardBudgetStatusRejected","AA3F29ECA6EE77DAE040DC0A1F8A01CC","1","CONFG","8","This system parameter maps the AwardBudget status Rejected","A","KC"
"KC-AB","Document","awardBudgetStatusSubmitted","AA3F29ECA6EF77DAE040DC0A1F8A01CC","1","CONFG","5","This system parameter maps the AwardBudget status Submitted","A","KC"
"KC-AB","Document","awardBudgetStatusToBePosted","AA3F29ECA6F077DAE040DC0A1F8A01CC","1","CONFG","10","This system parameter maps the AwardBudget status To Be Posted","A","KC"
"KC-AB","Document","awardBudgetTypeNew","AA3F29ECA6F177DAE040DC0A1F8A01CC","1","CONFG","1","This system parameter maps the AwardBudget type New","A","KC"
"KC-AB","Document","awardBudgetTypeRebudget","AA3F29ECA6F277DAE040DC0A1F8A01CC","1","CONFG","2","This system parameter maps the AwardBudget type Rebudget","A","KC"
"KC-AWARD","Document","AWARD_ACTIVE_STATUS_CODES","AA3F2E2DAD2ED111E040DC0A1F8A01E3","1","CONFG","1,3,6","Comma delimited list of award status codes considered active.","A","KC"
