"KIM_TYP_ATTR_ID","KIM_TYP_ID","KIM_ATTR_DEFN_ID","SORT_CD","ACTV_IND","OBJ_ID","VER_NBR"
"KC113","KC68","KC47","A","Y","B6A90093AC2F8D60E040DC0A1F8A1D16",1
"KC114","KC69","KC47","A","Y","B6A90093AC308D60E040DC0A1F8A1D16",1
"KC115","KC69","KC48","B","Y","B6A90093AC318D60E040DC0A1F8A1D16",1
"KC116","KC73","KC49","a","Y","B6A90093AC328D60E040DC0A1F8A1D16",1
"KC117","KC74","KC50","a","Y","B6A90093AC338D60E040DC0A1F8A1D16",1
"KC118","KC75","KC51","A","Y","B6A90093AC348D60E040DC0A1F8A1D16",1
"KC119","KC76","KC52","A","Y","B6A90093AC358D60E040DC0A1F8A1D16",1
"KC120","KC77","KC53","A","Y","B6A90093AC368D60E040DC0A1F8A1D16",1
"KC121","KC78","KC54","A","Y","B6A90093AC378D60E040DC0A1F8A1D16",1
"KC122","KC79","KC55","A","Y","B6A90093AC388D60E040DC0A1F8A1D16",1
"KC123","KC81","KC47","A","Y","B6A90093AC398D60E040DC0A1F8A1D16",1
"KC150","KC73","13","b","Y","CB413568A7BFAB48E040DC0A1F8A4434",1
"KC151","KC74","13","b","Y","CB413568A7C0AB48E040DC0A1F8A4434",1
