"ROLE_PERM_ID","OBJ_ID","VER_NBR","ROLE_ID","PERM_ID","ACTV_IND"
"1122","96FC8F8285A68197E040DC0A1F8A6D66","1","1127","1095","Y"
"1123","96FC8F8285A78197E040DC0A1F8A6D66","1","1127","163","Y"
"1124","96FC8F8285A88197E040DC0A1F8A6D66","1","1127","183","Y"
"1125","96FC8F8285A98197E040DC0A1F8A6D66","1","1127","298","Y"
"1126","96FC8F8285AA8197E040DC0A1F8A6D66","1","1127","299","Y"
"1127","96FC8F8285AB8197E040DC0A1F8A6D66","1","1127","306","Y"
"1128","96FC8F8285AC8197E040DC0A1F8A6D66","1","1127","149","Y"
"1129","96FC8F8285AD8197E040DC0A1F8A6D66","1","1127","1098","Y"
"1130","96FC8F8285AE8197E040DC0A1F8A6D66","1","1127","1099","Y"
"1131","96FC8F8285AF8197E040DC0A1F8A6D66","1","1127","1100","Y"
"1132","96FC8F8285B08197E040DC0A1F8A6D66","1","1127","1101","Y"
"1133","96FC8F8285B18197E040DC0A1F8A6D66","1","1127","1103","Y"
"1134","96FC8F8285B28197E040DC0A1F8A6D66","1","1127","1082","Y"
"1135","96FC8F8285B48197E040DC0A1F8A6D66","1","1127","155","Y"
"1136","96FC8F8285B58197E040DC0A1F8A6D66","1","1127","167","Y"
"1137","96FC8F8285B68197E040DC0A1F8A6D66","1","1127","156","Y"
"1138","96FC8F8285B78197E040DC0A1F8A6D66","1","1127","180","Y"
"1139","96FC8F8285B88197E040DC0A1F8A6D66","1","1127","174","Y"
"1140","96FC8F8285B98197E040DC0A1F8A6D66","1","1127","168","Y"
"1141","96FC8F8285BA8197E040DC0A1F8A6D66","1","1127","1210","Y"
"1142","8DA214F141923BB5E040DC0A1F8A6D60","1","1139","1210","Y"
"1144","9E235741BAF59B01E040DC0A1F8A1AFF","1","1172","1182","Y"
"1145","9E235741BAF79B01E040DC0A1F8A1AFF","1","1173","1180","Y"
"1146","9E235741BAF89B01E040DC0A1F8A1AFF","1","1173","1181","Y"
"1147","9E235741BAF99B01E040DC0A1F8A1AFF","1","1173","1182","Y"
"1148","9E235741BAFA9B01E040DC0A1F8A1AFF","1","1173","1183","Y"
"1152","9E235741BAFB9B01E040DC0A1F8A1AFF","1","1171","1183","Y"
"1153","9E235741BAF69B01E040DC0A1F8A1AFF","1","1172","1183","Y"
"1154","9E235741BAFC9B01E040DC0A1F8A1AFF","1","1171","1182","Y"
"900","77151AD4B2AB9985E0404F8189D80E8B","1","1108","1000","Y"
"901","77151AD4B3079985E0404F8189D80E8B","1","1109","1008","Y"
"902","77151AD4B3089985E0404F8189D80E8B","1","1109","1021","Y"
"903","77151AD4B3099985E0404F8189D80E8B","1","1109","1010","Y"
"904","77151AD4B30A9985E0404F8189D80E8B","1","1109","1023","Y"
"905","77151AD4B30B9985E0404F8189D80E8B","1","1109","1009","Y"
"906","77151AD4B30C9985E0404F8189D80E8B","1","1109","1022","Y"
"907","77151AD4B30D9985E0404F8189D80E8B","1","1109","1011","Y"
"908","77151AD4B30E9985E0404F8189D80E8B","1","1109","1033","Y"
"909","77151AD4B30F9985E0404F8189D80E8B","1","1109","1034","Y"
"910","77151AD4B3109985E0404F8189D80E8B","1","1109","1005","Y"
"911","77151AD4B3119985E0404F8189D80E8B","1","1109","1036","Y"
"912","77151AD4B3139985E0404F8189D80E8B","1","1110","1008","Y"
"913","77151AD4B3149985E0404F8189D80E8B","1","1110","1021","Y"
"914","77151AD4B3159985E0404F8189D80E8B","1","1110","1010","Y"
"915","77151AD4B3169985E0404F8189D80E8B","1","1110","1023","Y"
"916","77151AD4B3179985E0404F8189D80E8B","1","1110","1022","Y"
"917","77151AD4B3189985E0404F8189D80E8B","1","1110","1033","Y"
"918","77151AD4B31A9985E0404F8189D80E8B","1","1111","1008","Y"
"919","77151AD4B31B9985E0404F8189D80E8B","1","1111","1021","Y"
"920","77151AD4B31C9985E0404F8189D80E8B","1","1111","1023","Y"
"921","77151AD4B31D9985E0404F8189D80E8B","1","1111","1009","Y"
"922","77151AD4B31E9985E0404F8189D80E8B","1","1111","1022","Y"
"923","77151AD4B31F9985E0404F8189D80E8B","1","1111","1033","Y"
"924","77151AD4B3219985E0404F8189D80E8B","1","1112","1021","Y"
"925","77151AD4B3229985E0404F8189D80E8B","1","1112","1023","Y"
"926","77151AD4B3239985E0404F8189D80E8B","1","1112","1022","Y"
"927","77151AD4B3249985E0404F8189D80E8B","1","1112","1033","Y"
