"ATTR_DATA_ID","ROLE_MBR_ID","KIM_TYP_ID","KIM_ATTR_DEFN_ID","ATTR_VAL","OBJ_ID","VER_NBR"
"KC10000","KC10002","KC69","KC47","000001","AAB8503122D81B41E040DC0A1F8A7174","1"
"KC10001","KC10003","KC68","KC47","000001","AAB8503122DA1B41E040DC0A1F8A7174","1"
"KC10002","KC10004","KC68","KC47","000001","AAB8503122DC1B41E040DC0A1F8A7174","1"
"KC10003","KC10005","KC68","KC47","000001","AAB8503122DE1B41E040DC0A1F8A7174","1"
"KC10004","KC10006","KC68","KC47","000001","AAB8503122E01B41E040DC0A1F8A7174","1"
"KC10005","KC10007","KC68","KC47","000001","AAB8503122E21B41E040DC0A1F8A7174","1"
"KC10006","KC10008","KC69","KC47","000001","AAB8503122E41B41E040DC0A1F8A7174","1"
"KC10007","KC10008","KC69","KC48","Y","AAB8503122E51B41E040DC0A1F8A7174","1"
"KC10008","KC10009","KC69","KC47","000001","AAB8503122E71B41E040DC0A1F8A7174","1"
"KC10009","KC10009","KC69","KC48","Y","AAB8503122E81B41E040DC0A1F8A7174","1"
"KC10010","KC10010","KC69","KC47","000001","AAB8503122EA1B41E040DC0A1F8A7174","1"
"KC10011","KC10010","KC69","KC48","Y","AAB8503122EB1B41E040DC0A1F8A7174","1"
"KC10012","KC10011","KC69","KC47","000001","AAB8503122ED1B41E040DC0A1F8A7174","1"
"KC10013","KC10011","KC69","KC48","Y","AAB8503122EE1B41E040DC0A1F8A7174","1"
"KC10014","KC10012","KC69","KC47","000001","AAB8503122F01B41E040DC0A1F8A7174","1"
"KC10015","KC10012","KC69","KC48","Y","AAB8503122F11B41E040DC0A1F8A7174","1"
"KC10016","KC10013","KC69","KC47","000001","AAB8503122F31B41E040DC0A1F8A7174","1"
"KC10017","KC10013","KC69","KC48","Y","AAB8503122F41B41E040DC0A1F8A7174","1"
"KC10018","KC10014","KC69","KC47","000001","AAB8503122F61B41E040DC0A1F8A7174","1"
"KC10019","KC10014","KC69","KC48","Y","AAB8503122F71B41E040DC0A1F8A7174","1"
"KC10020","KC10015","KC69","KC47","000001","AAB8503122F91B41E040DC0A1F8A7174","1"
"KC10021","KC10015","KC69","KC48","Y","AAB8503122FA1B41E040DC0A1F8A7174","1"
"KC10022","KC10016","KC69","KC47","000001","AAB8503122FC1B41E040DC0A1F8A7174","1"
"KC10023","KC10016","KC69","KC48","Y","AAB8503122FD1B41E040DC0A1F8A7174","1"
"KC10024","KC10017","KC69","KC47","000001","AAB8503122FF1B41E040DC0A1F8A7174","1"
"KC10025","KC10017","KC69","KC48","Y","AAB8503123001B41E040DC0A1F8A7174","1"
"KC10026","KC10018","KC69","KC47","000001","AAB8503123021B41E040DC0A1F8A7174","1"
"KC10027","KC10018","KC69","KC48","Y","AAB8503123031B41E040DC0A1F8A7174","1"
"KC10028","KC10019","KC69","KC47","IN-CARD","AAB8503123051B41E040DC0A1F8A7174","1"
"KC10029","KC10019","KC69","KC48","Y","AAB8503123061B41E040DC0A1F8A7174","1"
"KC10030","KC10020","KC69","KC47","000001","AAB8503123081B41E040DC0A1F8A7174","1"
"KC10031","KC10020","KC69","KC48","Y","AAB8503123091B41E040DC0A1F8A7174","1"
"KC10032","KC10021","KC69","KC47","000001","AAB85031230B1B41E040DC0A1F8A7174","1"
"KC10033","KC10021","KC69","KC48","Y","AAB85031230C1B41E040DC0A1F8A7174","1"
"KC10034","KC10022","KC69","KC47","000001","AAB85031230E1B41E040DC0A1F8A7174","1"
"KC10035","KC10022","KC69","KC48","Y","AAB85031230F1B41E040DC0A1F8A7174","1"
"KC10036","KC10084","KC68","KC47","000001","AAB85031234E1B41E040DC0A1F8A7174","1"
"KC10037","KC10086","KC69","KC47","000001","AAB8503123511B41E040DC0A1F8A7174","1"
"KC10038","KC10088","KC69","KC47","000001","AAB8503123541B41E040DC0A1F8A7174","1"
"KC10039","KC10089","KC69","KC47","000001","AAB8503123561B41E040DC0A1F8A7174","1"
"KC10040","KC10091","KC68","KC47","000001","AAB8503123591B41E040DC0A1F8A7174","1"
"KC10041","KC10092","KC68","KC47","BL-IIDC","AAB85031235B1B41E040DC0A1F8A7174","1"
"KC10042","KC10093","KC68","KC47","IN-CARD","AAB85031235D1B41E040DC0A1F8A7174","1"
"KC10043","KC10094","KC68","KC47","IN-CARR","AAB85031235F1B41E040DC0A1F8A7174","1"
"KC10044","KC10095","KC68","KC47","000001","AAB8503123611B41E040DC0A1F8A7174","1"
"KC10045","KC10096","KC68","KC47","BL-IIDC","AAB8503123631B41E040DC0A1F8A7174","1"
"KC10046","KC10097","KC68","KC47","IN-CARD","AAB8503123651B41E040DC0A1F8A7174","1"
"KC10047","KC10098","KC68","KC47","IN-CARR","AAB8503123671B41E040DC0A1F8A7174","1"
"KC10048","KC10099","KC68","KC47","000001","AAB8503123691B41E040DC0A1F8A7174","1"
"KC10049","KC10100","KC68","KC47","BL-BL","AAB85031236B1B41E040DC0A1F8A7174","1"
"KC10050","KC10101","KC68","KC47","BL-IIDC","AAB85031236D1B41E040DC0A1F8A7174","1"
"KC10051","KC10102","KC68","KC47","IN-MDEP","AAB85031236F1B41E040DC0A1F8A7174","1"
"KC10052","KC10103","KC68","KC47","IN-PED","AAB8503123711B41E040DC0A1F8A7174","1"
"KC10053","KC10104","KC68","KC47","000001","AAB8503123731B41E040DC0A1F8A7174","1"
"KC10054","KC10105","KC68","KC47","IN-MED","AAB8503123751B41E040DC0A1F8A7174","1"
"KC10055","KC10106","KC69","KC47","000001","AAB8503123771B41E040DC0A1F8A7174","1"
"KC10056","KC10106","KC69","KC48","Y","AAB8503123781B41E040DC0A1F8A7174","1"
"KC10057","KC10107","KC69","KC47","000001","AAB85031237A1B41E040DC0A1F8A7174","1"
"KC10058","KC10107","KC69","KC48","Y","AAB85031237B1B41E040DC0A1F8A7174","1"
"KC10059","KC10108","KC69","KC47","000001","AAB85031237D1B41E040DC0A1F8A7174","1"
"KC10060","KC10108","KC69","KC48","Y","AAB85031237E1B41E040DC0A1F8A7174","1"
"KC10061","KC10109","KC69","KC47","000001","AAB8503123801B41E040DC0A1F8A7174","1"
"KC10062","KC10109","KC69","KC48","Y","AAB8503123811B41E040DC0A1F8A7174","1"
"KC10063","KC10110","KC69","KC47","000001","AAB8503123831B41E040DC0A1F8A7174","1"
"KC10064","KC10110","KC69","KC48","Y","AAB8503123841B41E040DC0A1F8A7174","1"
"KC10065","KC10111","KC69","KC47","000001","AAB8503123861B41E040DC0A1F8A7174","1"
"KC10066","KC10111","KC69","KC48","Y","AAB8503123871B41E040DC0A1F8A7174","1"
"KC10067","KC10112","KC69","KC47","000001","AAB8503123891B41E040DC0A1F8A7174","1"
"KC10068","KC10112","KC69","KC48","Y","AAB85031238A1B41E040DC0A1F8A7174","1"
"KC10069","KC10113","KC69","KC47","000001","AAB85031238C1B41E040DC0A1F8A7174","1"
"KC10070","KC10113","KC69","KC48","Y","AAB85031238D1B41E040DC0A1F8A7174","1"
"KC10071","KC10114","KC69","KC47","000001","AAB85031238F1B41E040DC0A1F8A7174","1"
"KC10072","KC10114","KC69","KC48","Y","AAB8503123901B41E040DC0A1F8A7174","1"
"KC10073","KC10115","KC69","KC47","000001","AAB8503123921B41E040DC0A1F8A7174","1"
"KC10074","KC10115","KC69","KC48","Y","AAB8503123931B41E040DC0A1F8A7174","1"
"KC10075","KC10116","KC69","KC47","000001","AAB8503123951B41E040DC0A1F8A7174","1"
"KC10076","KC10116","KC69","KC48","Y","AAB8503123961B41E040DC0A1F8A7174","1"
"KC10077","KC10117","KC69","KC47","000001","AAB8503123981B41E040DC0A1F8A7174","1"
"KC10078","KC10117","KC69","KC48","N","AAB8503123991B41E040DC0A1F8A7174","1"
"KC10079","KC10118","KC69","KC47","000001","AAB85031239B1B41E040DC0A1F8A7174","1"
"KC10080","KC10118","KC69","KC48","Y","AAB85031239C1B41E040DC0A1F8A7174","1"
"KC10081","KC10119","KC69","KC47","000001","AAB85031239E1B41E040DC0A1F8A7174","1"
"KC10082","KC10119","KC69","KC48","Y","AAB85031239F1B41E040DC0A1F8A7174","1"
"KC10083","KC10120","KC69","KC47","000001","AAB8503123A11B41E040DC0A1F8A7174","1"
"KC10084","KC10120","KC69","KC48","Y","AAB8503123A21B41E040DC0A1F8A7174","1"
"KC10085","KC10121","KC69","KC47","IN-CARD","AAB8503123A41B41E040DC0A1F8A7174","1"
"KC10086","KC10121","KC69","KC48","Y","AAB8503123A51B41E040DC0A1F8A7174","1"
"KC10087","KC10122","KC69","KC47","000001","AAB8503123A71B41E040DC0A1F8A7174","1"
"KC10088","KC10122","KC69","KC48","Y","AAB8503123A81B41E040DC0A1F8A7174","1"
"KC10089","KC10123","KC69","KC47","000001","AAB8503123AA1B41E040DC0A1F8A7174","1"
"KC10090","KC10123","KC69","KC48","Y","AAB8503123AB1B41E040DC0A1F8A7174","1"
"KC10091","KC10124","KC69","KC47","000001","AAB8503123AD1B41E040DC0A1F8A7174","1"
"KC10092","KC10124","KC69","KC48","Y","AAB8503123AE1B41E040DC0A1F8A7174","1"
"KC10093","KC10125","KC69","KC47","000001","AAB8503123B01B41E040DC0A1F8A7174","1"
"KC10094","KC10125","KC69","KC48","N","AAB8503123B11B41E040DC0A1F8A7174","1"
"KC10095","KC10126","KC69","KC47","BL-IIDC","AAB8503123B31B41E040DC0A1F8A7174","1"
"KC10096","KC10126","KC69","KC48","N","AAB8503123B41B41E040DC0A1F8A7174","1"
