"KIM_TYP_ID","OBJ_ID","VER_NBR","NM","SRVC_NM","ACTV_IND","NMSPC_CD"
"68","AA3F29ECA6B877DAE040DC0A1F8A01CC","1","Unit","unitRoleTypeService","Y","KC-SYS"
"69","AA3F29ECA6B977DAE040DC0A1F8A01CC","1","UnitHierarchy","unitHierarchyRoleTypeService","Y","KC-SYS"
"70","AA3F29ECA6BA77DAE040DC0A1F8A01CC","1","Derived Role - PI","proposalRoleTypeService","Y","KC-WKFLW"
"71","AA3F29ECA6BB77DAE040DC0A1F8A01CC","1","Derived Role - COI","proposalRoleTypeService","Y","KC-WKFLW"
"72","AA3F29ECA6BC77DAE040DC0A1F8A01CC","1","Derived Role - KeyPerson","proposalRoleTypeService","Y","KC-WKFLW"
"73","AA3F29ECA6BD77DAE040DC0A1F8A01CC","1","Document Section","defaultPermissionTypeService","Y","KC-SYS"
"74","AA3F29ECA6BE77DAE040DC0A1F8A01CC","1","Document Action","defaultPermissionTypeService","Y","KC-SYS"
"75","AA3F29ECA6BF77DAE040DC0A1F8A01CC","1","ProposalType","kimTypeService","Y","KC-SYS"
"76","AA3F29ECA6C077DAE040DC0A1F8A01CC","1","ProtocolType","kimTypeService","Y","KC-SYS"
"77","AA3F29ECA6C177DAE040DC0A1F8A01CC","1","CommitteeType","kimTypeService","Y","KC-SYS"
"78","AA3F29ECA6C277DAE040DC0A1F8A01CC","1","AwardType","kimTypeService","Y","KC-SYS"
"79","AA3F29ECA6C377DAE040DC0A1F8A01CC","1","TimeAndMoneyType","kimTypeService","Y","KC-SYS"
"80","AA3F29ECA6C477DAE040DC0A1F8A01CC","1","Derived Role - Proposal Log PI","proposalLogPiDerivedRoleTypeService","Y","KC-IP"
"81","AA3F29ECA6C577DAE040DC0A1F8A01CC","1","Derived Role - Unit Administrator","unitAdministratorDerivedRoleTypeService","Y","KC-WKFLW"
"82","AA3F29ECA6C677DAE040DC0A1F8A01CC","1","Derived Role: IRB Online Reviewer","protocolOnlineReviewRoleTypeService","Y","KC-WKFLW"
"83","AA3F29ECA6C777DAE040DC0A1F8A01CC","1","IRBApprover-Nested","protocolApproverRoleTypeService","Y","KC-SYS"
"84","AA3F29ECA6C877DAE040DC0A1F8A01CC","1","Derived Role: Active Committee Member","activeCommitteeMemberDerivedRoleTypeService","Y","KC-WKFLW"
"85","AA3F29ECA6C977DAE040DC0A1F8A01CC","1","Derived Role: Active Committee Member on Scheduled Date","activeCommitteeMemberOnScheduledDateDerivedRoleTypeService","Y","KC-WKFLW"
"86","AA51CAC0ECCD7EC0E040DC0A1F8A40D0","1","Derived Role: Active Committee Member On Protocol","activeCommitteeMemberOnProtocolDerivedRoleTypeService","Y","KC-PROTOCOL"
