"ATTR_DATA_ID","PERM_ID","KIM_TYP_ID","KIM_ATTR_DEFN_ID","ATTR_VAL","OBJ_ID","VER_NBR"
"KCoeus1000","KCoeus872","KCoeus74","KCoeus50","certify","B6A90093AC908D60E040DC0A1F8A1D16",1
"KCoeus1001","KCoeus872","KCoeus74","13","ProposalDevelopmentDocument","B6A90093AC918D60E040DC0A1F8A1D16",1
"KCoeus1002","KCoeus873","KCoeus74","13","ProposalDevelopmentDocument","B6A90093AC938D60E040DC0A1F8A1D16",1
"KCoeus1003","KCoeus873","KCoeus74","KCoeus50","submit_to_sponsor","B6A90093AC948D60E040DC0A1F8A1D16",1
"KCoeus1004","KCoeus874","KCoeus74","KCoeus50","add_viewer","B6A90093AC968D60E040DC0A1F8A1D16",1
"KCoeus1005","KCoeus874","KCoeus74","13","ProposalDevelopmentDocument","B6A90093AC978D60E040DC0A1F8A1D16",1
"KCoeus1006","KCoeus875","KCoeus74","KCoeus50","create_ammendment","B6A90093AC998D60E040DC0A1F8A1D16",1
"KCoeus1007","KCoeus875","KCoeus74","13","ProtocolDocument","B6A90093AC9A8D60E040DC0A1F8A1D16",1
"KCoeus1008","KCoeus876","KCoeus74","13","ProtocolDocument","B6A90093AC9C8D60E040DC0A1F8A1D16",1
"KCoeus1009","KCoeus876","KCoeus74","KCoeus50","create_renewal","B6A90093AC9D8D60E040DC0A1F8A1D16",1
"KCoeus1010","KCoeus877","KCoeus74","13","ProtocolDocument","B6A90093AC9F8D60E040DC0A1F8A1D16",1
"KCoeus1011","KCoeus877","KCoeus74","KCoeus50","admin_correction","B6A90093ACA08D60E040DC0A1F8A1D16",1
"KCoeus1012","KCoeus878","KCoeus74","KCoeus50","modify_submission_details","B6A90093ACA28D60E040DC0A1F8A1D16",1
"KCoeus1013","KCoeus878","KCoeus74","13","ProtocolDocument","B6A90093ACA38D60E040DC0A1F8A1D16",1
"KCoeus1014","KCoeus879","KCoeus74","13","ProtocolDocument","B6A90093ACA58D60E040DC0A1F8A1D16",1
"KCoeus1015","KCoeus879","KCoeus74","KCoeus50","add_notes","B6A90093ACA68D60E040DC0A1F8A1D16",1
"KCoeus1016","KCoeus880","KCoeus74","13","ProtocolDocument","B6A90093ACA88D60E040DC0A1F8A1D16",1
"KCoeus1017","KCoeus880","KCoeus74","KCoeus50","view_restricted_notes","B6A90093ACA98D60E040DC0A1F8A1D16",1
"KCoeus1018","KCoeus881","KCoeus74","13","MeetingManagementDocument","B6A90093ACAB8D60E040DC0A1F8A1D16",1
"KCoeus1019","KCoeus881","KCoeus74","KCoeus50","generate_agenda","B6A90093ACAC8D60E040DC0A1F8A1D16",1
"KCoeus1020","KCoeus882","KCoeus74","KCoeus50","generate_minutes","B6A90093ACAE8D60E040DC0A1F8A1D16",1
"KCoeus1021","KCoeus882","KCoeus74","13","MeetingManagementDocument","B6A90093ACAF8D60E040DC0A1F8A1D16",1
"KCoeus1022","KCoeus883","KCoeus74","13","CommitteeDocument","B6A90093ACB18D60E040DC0A1F8A1D16",1
"KCoeus1023","KCoeus883","KCoeus74","KCoeus50","generate_schedule","B6A90093ACB28D60E040DC0A1F8A1D16",1
"KCoeus1024","KCoeus884","KCoeus74","KCoeus50","view_member_details","B6A90093ACB48D60E040DC0A1F8A1D16",1
