"ROLE_RSP_ID","ROLE_ID","RSP_ID","ACTV_IND","OBJ_ID","VER_NBR"
"KC10","KC128","10015","Y","B6A90093AD568D60E040DC0A1F8A1D16",1
"KC11","KC128","10016","Y","B6A90093AD588D60E040DC0A1F8A1D16",1
"KC12","KC132","1004","Y","B6A90093AD5A8D60E040DC0A1F8A1D16",1
"KC13","KC133","1004","Y","B6A90093AD5C8D60E040DC0A1F8A1D16",1
"KC14","KC134","1006","Y","B6A90093AD5E8D60E040DC0A1F8A1D16",1
"KC15","KC135","1005","Y","B6A90093AD608D60E040DC0A1F8A1D16",1
"KC16","KC136","1004","Y","B6A90093AD628D60E040DC0A1F8A1D16",1
"KC18","KC143","10014","Y","B6A90093AD668D60E040DC0A1F8A1D16",1
"KC19","KC138","10017","Y","B6A90093AD648D60E040DC0A1F8A1D16",1
"KC2","KC99","1007","Y","B6A90093AD468D60E040DC0A1F8A1D16",1
"KC21","KC125","10019","Y","C041EF5968206B48E040DC0A1F8A15A8",1
"KC22","KC125","10020","Y","C041EF5968236B48E040DC0A1F8A15A8",1
"KC23","KC1750","10021","Y","D5A1CCE2728EAC6EE040DC0A1F8A32D6",1
"KC24","KC1411","10021","Y","D5A1CCE27290AC6EE040DC0A1F8A32D6",1
"KC25","KC1610","10022","Y","D5A1CCE272D3AC6EE040DC0A1F8A32D6",1
"KC26","KC1621","10023","Y","D5A1CCE272DCAC6EE040DC0A1F8A32D6",1
"KC27","KC1610","10024","Y","D5A1CCE272E3AC6EE040DC0A1F8A32D6",1
"KC29","KC1610","10025","Y","D5A1CCE27358AC6EE040DC0A1F8A32D6",1
"KC3","KC99","1008","Y","B6A90093AD488D60E040DC0A1F8A1D16",1
"KC30","KC1635","10025","Y","D5A1CCE273B3AC6EE040DC0A1F8A32D6",1
"KC31","KC1636","10018","Y","D5A1CCE273BFAC6EE040DC0A1F8A32D6",1
"KC4","KC99","1009","Y","B6A90093AD4A8D60E040DC0A1F8A1D16",1
"KC5","KC99","10010","Y","B6A90093AD4C8D60E040DC0A1F8A1D16",1
"KC6","KC100","1002","Y","B6A90093AD4E8D60E040DC0A1F8A1D16",1
"KC7","KC100","1003","Y","B6A90093AD508D60E040DC0A1F8A1D16",1
"KC8","KC112","10012","Y","B6A90093AD528D60E040DC0A1F8A1D16",1
"KC9","KC112","10013","Y","B6A90093AD548D60E040DC0A1F8A1D16",1
