"NMSPC_CD","CMPNT_CD","PARM_NM","OBJ_ID","VER_NBR","PARM_TYP_CD","VAL","PARM_DESC_TXT","EVAL_OPRTR_CD","APPL_ID"
"KC-AB","All","KIM_SHOW_BLANK_QUALIFIERS","B6A9051D48C4F9D0E040DC0A1F8A1D56",1,"CONFG","N","Whether to show the blank qualifiers in KIM Maintenance Screens","A","KUALI"
"KC-AB","Document","AWARD_BUDGET_POST_ENABLED","B6A90093AAB08D60E040DC0A1F8A1D16",1,"CONFG","1","This system parameter enables on demand Award Budget Posting","A","KC"
"KC-AB","Document","awardBudgetDefaultFnARateClassCode","C041EF5965236B48E040DC0A1F8A15A8",1,"CONFG","13","Default budget F&A rate class code used in Award Budget","A","KC"
"KC-AB","Document","awardBudgetDefaultUnderrecoveryRateClassCode","C041EF5965246B48E040DC0A1F8A15A8",1,"CONFG","13","Default budget Underrecovery rate class code used in Award Budget","A","KC"
"KC-AB","Document","awardBudgetStatusDoNotPost","B6A90093AAB18D60E040DC0A1F8A1D16",1,"CONFG","12","This system parameter maps the AwardBudget status Do Not Post","A","KC"
"KC-AB","Document","awardBudgetStatusErrorInPosting","B6A90093AAB28D60E040DC0A1F8A1D16",1,"CONFG","11","This system parameter maps the AwardBudget status Error In Posting","A","KC"
"KC-AB","Document","awardBudgetStatusInProgress","B6A90093AAB38D60E040DC0A1F8A1D16",1,"CONFG","1","This system parameter maps the AwardBudget status In Progress","A","KC"
"KC-AB","Document","awardBudgetStatusPosted","B6A90093AAB48D60E040DC0A1F8A1D16",1,"CONFG","9","This system parameter maps the AwardBudget status Posted","A","KC"
"KC-AB","Document","awardBudgetStatusRejected","B6A90093AAB58D60E040DC0A1F8A1D16",1,"CONFG","8","This system parameter maps the AwardBudget status Rejected","A","KC"
"KC-AB","Document","awardBudgetStatusSubmitted","B6A90093AAB68D60E040DC0A1F8A1D16",1,"CONFG","5","This system parameter maps the AwardBudget status Submitted","A","KC"
"KC-AB","Document","awardBudgetStatusToBePosted","B6A90093AAB78D60E040DC0A1F8A1D16",1,"CONFG","10","This system parameter maps the AwardBudget status To Be Posted","A","KC"
"KC-AB","Document","awardBudgetTypeNew","B6A90093AAB88D60E040DC0A1F8A1D16",1,"CONFG","1","This system parameter maps the AwardBudget type New","A","KC"
"KC-AB","Document","awardBudgetTypeRebudget","B6A90093AAB98D60E040DC0A1F8A1D16",1,"CONFG","2","This system parameter maps the AwardBudget type Rebudget","A","KC"
"KC-ADM","All","KIM_SHOW_BLANK_QUALIFIERS","B6A9051D48BDF9D0E040DC0A1F8A1D56",1,"CONFG","N","Whether to show the blank qualifiers in KIM Maintenance Screens","A","KUALI"
"KC-AWARD","All","KIM_SHOW_BLANK_QUALIFIERS","B6A9051D48BFF9D0E040DC0A1F8A1D56",1,"CONFG","N","Whether to show the blank qualifiers in KIM Maintenance Screens","A","KUALI"
"KC-AWARD","Document","AUTO_GENERATE_TIME_AND_MONEY_FUNDS_DIST_PERIODS","EAAE523DB81AA6E9E040DC0A1F8A0F5D",1,"CONFG","Y","Auto Generate Time & Money Distribution Periods","A","KUALI"
"KC-AWARD","Document","AWARD_ACTIVE_STATUS_CODES","B6A9041F2343BA87E040DC0A1F8A1D34",1,"CONFG","1,3,6","Comma delimited list of award status codes considered active.","A","KC"
"KC-AWARD","Document","AWARD_COST_SHARING","B6A9041F2344BA87E040DC0A1F8A1D34",1,"CONFG","009906","Numeric code from the Sponsor table that defines an award as being for Cost Sharing for sync descendants.","A","KC"
"KC-AWARD","Document","AWARD_DISCLOSE_STATUS_CODES","C041EF5965B36B48E040DC0A1F8A15A8",1,"CONFG","1;3;5","Award status codes a coi disclosure event will be considered active.","A","KC"
"KC-AWARD","Document","AWARD_FABRICATED_EQUIPMENT","B6A9041F2345BA87E040DC0A1F8A1D34",1,"CONFG","2","Numeric code from Account Type table that defines an award as being for Fabricated Equipment for sync descendants.","A","KC"
"KC-AWARD","Document","AWARD_FNA_DISTRIBUTION","EAAE523DB69FA6E9E040DC0A1F8A0F5D",1,"CONFG","O","There is a validation on the \"Direct/F&A Funds Distribution\" panel in the Time and Money document concerning distribution anticipated amount not equaling award anticipated amount.  This parameter manages how that validation is handled.  When D (disabled), the validation is not run..  When M (mandatory), the validation shows as an error on save. When O (optional), the validation is shown as a warning on save.","A","KC"
"KC-AWARD","Document","AwardPaymentScheduleActiveLinks","C041EF5965936B48E040DC0A1F8A15A8",1,"CONFG","Y","Award Payment Schedule: Determines how users enter the Preparer and Status values. The object field is followed by the database field in parentheses.  N = Enter text for Preparer: submittedBy (SUBMITTED_BY) and Status: status (STATUS).  Y = Active links to Person table for Preparer: submittedByPersonId (SUBMITTED_BY_PERSON_ID) and Report Status table for Status: reportStatusCode (REPORT_STATUS_CODE).","A","KC"
